"4-573","Black Bank","http://wztyb7vlfcw6l4xd.onion/item/573","
Aidoneus","3.38825608","US ONLY 250x 140mg PURE 84 MDMA Capsules","250 x HIGH QUALITY MDMA Capsules. Capsules contain 135 145mg MDMA we use commercial capsule filling machines that are quite accurate We only source the best MDMA available. Quality is consistently 83.5 . You really won t find better quality product anywhere else WHAT TO EXPECT SOME OF THE BEST PACKAGING EVER. Promise. Try us. Not only that but we are constantly trying to improve it to keep it the best Packages are shipped from West Coast USA. Virtually 0 chance of failed delivery Order DOMESTICALLY with confidence Package will not require a signature. USPS Priority and Express Mail shipping options available. WE DO NOT SHARE TRACKING INFORMATION. THAT IS FOR DISPUTE PURPOSES ONLY. Please read our vendor page for additional info","http://wztyb7vlfcw6l4xd.onion/image/modules/freedomshop/uploads/xcad68e7b51e72db13ddab3364941c4262506c6a0-m.jpg.pagespeed.ic.Xa3IwEj9_g.jpg","1401490730","United States of America",
"4-525","Black Bank","http://wztyb7vlfcw6l4xd.onion/item/525","
Aidoneus","0.76140586","US ONLY 50x 140mg PURE 84 MDMA Capsules","50 x HIGH QUALITY MDMA Capsules. Capsules contain 135 145mg MDMA we use commercial capsule filling machines that are quite accurate We only source the best MDMA available. Quality is consistently 83.5 . You really won t find better quality product anywhere else WHAT TO EXPECT SOME OF THE BEST PACKAGING EVER. Promise. Try us. Not only that but we are constantly trying to improve it to keep it the best Packages are shipped from West Coast USA. Virtually 0 chance of failed delivery Order DOMESTICALLY with confidence Package will not require a signature. USPS Priority and Express Mail shipping options available. WE DO NOT SHARE TRACKING INFORMATION. THAT IS FOR DISPUTE PURPOSES ONLY. Please read our vendor page for additional info","http://wztyb7vlfcw6l4xd.onion/image/modules/freedomshop/uploads/x43bf8c42ad163bc105e4fc00913da1b5df0b5642-m.jpg.pagespeed.ic.axLsq3630V.jpg","1401490378","United States of America",
"4-572","Black Bank","http://wztyb7vlfcw6l4xd.onion/item/572","
Aidoneus","0.16751184","US ONLY 10x 140mg PURE 84 MDMA Capsules","10 x HIGH QUALITY MDMA Capsules. Capsules contain 135 145mg MDMA we use commercial capsule filling machines that are quite accurate We only source the best MDMA available. Quality is consistently 83.5 . You really won t find better quality product anywhere else WHAT TO EXPECT SOME OF THE BEST PACKAGING EVER. Promise. Try us. Not only that but we are constantly trying to improve it to keep it the best Packages are shipped from West Coast USA. Virtually 0 chance of failed delivery Order DOMESTICALLY with confidence Package will not require a signature. USPS Priority and Express Mail shipping options available. WE DO NOT SHARE TRACKING INFORMATION. THAT IS FOR DISPUTE PURPOSES ONLY. Please read our vendor page for additional info","http://wztyb7vlfcw6l4xd.onion/image/modules/freedomshop/uploads/xcad68e7b51e72db13ddab3364941c4262506c6a0-m.jpg.pagespeed.ic.Xa3IwEj9_g.jpg","1401490355","United States of America",
"4-1218","Black Bank","http://wztyb7vlfcw6l4xd.onion/item/1218","
AlwaysRight","0.06864083","1 x 80mg Oxycodon OC from MUNDIPHARMA","This Order is for 1 x 80mg Oxycodon OCs from Mundipharma Oxycontin Oxynorm Oxygesic all the same Product from Mundipharma Original German OXYGESIC Sending outside of Germany must Release Esrow before sending Germans Domestic can order with ESROW Please read Profile before u Order Ich spreche Deutsch For bigger oders please ask me U have any Questions feel free to Ask","http://wztyb7vlfcw6l4xd.onion/image/modules/freedomshop/uploads/405280e1da6c7b87630886d041431f1da354432c-m.jpg","1401490479","Germany",
"4-1223","Black Bank","http://wztyb7vlfcw6l4xd.onion/item/1223","
AlwaysRight","0.09494695","5 x Oxycodon OXYGESIC AKUT FAST RELEASE","This order is for 5 x 10mg 50mg Oxycodon with Fast release Original German Oxygesic Akut from Mundipharma For ALL Use U dont need to crush it its pure Oxycodon Hydroclorid Powder in easy open Hard Kapsule Please read Profile before u Order","http://wztyb7vlfcw6l4xd.onion/image/modules/freedomshop/uploads/5fa722bca4dfd42f659061ca63fdfef4ca024965-m.jpg","1401490475","Germany",
"4-1224","Black Bank","http://wztyb7vlfcw6l4xd.onion/item/1224","
AlwaysRight","0.61081640","10x 80mg Oxycodon OC from Mundipharma","This Order is for 10 x 80mg Oxycodon OCs from Mundipharma Oxycontin Oxynorm Oxygesic all the same Product from Mundipharma Original German OXYGESIC Sending outside of Germany must Release Escrow before sending Germans Domestic can order with ESCROW Please read Profile before u Order Ich spreche Deutsch For bigger orders please ask me U have any Questions feel free to Ask ALL QUESTIONS AND ORDER DEATAILS ONLY SEND WITH PGP","http://wztyb7vlfcw6l4xd.onion/image/modules/freedomshop/uploads/x7c81277c25c05743b7a040d34645d583a5accf0d-m.jpg.pagespeed.ic.kkHzId3Aae.jpg","1401490471","Germany",
"4-1171","Black Bank","http://wztyb7vlfcw6l4xd.onion/item/1171","
BCDirect","0.60912469","1.8oz AAA Bubba Kush Indoor BC Bud","Indoor AAA Organic BC Bud A sweet earthy strain that is an indica dominant hybrid Bubba Kush is a cross between Bubble Gum and Kush. It has an intense and relaxing high that starts in your head and moves down into your body. Dense nugs foresty kush smell good strain for after work. 50 grams.","http://wztyb7vlfcw6l4xd.onion/image/modules/freedomshop/uploads/2b5dc69c108c7202a6040be365f5eb1d62a10653-m.jpg","1401490570","Canada",
"4-1172","Black Bank","http://wztyb7vlfcw6l4xd.onion/item/1172","
BCDirect","0.54821222","1.8oz AAA Critical Plus BC Bud Greenhouse","Organic greenhouse BC Bud winner of the 1st High Life Cup in Barcelona One of Dinafem s flagship varieties it won the 1st High Life Cup in Barcelona. Intense fruity and skunky aroma with great aftertaste. This indica dominant looks like a sativa with fluffy buds and a strong body and mind stone. Organically grown in a greenhouse. 50 grams.","http://wztyb7vlfcw6l4xd.onion/image/modules/freedomshop/uploads/x6e65393b749c22b53d9c9bb0b381a0e7ce21023d-m.jpg.pagespeed.ic.T1r2M8yY9S.jpg","1401490565","Canada",
"4-1173","Black Bank","http://wztyb7vlfcw6l4xd.onion/item/1173","
BCDirect","0.60912469","1.8oz Vintage 2006 AAA Greenhouse BC Bud","Popular medicinal strain grown organically Lots of flavor and with a strong long lasting high. An indica dominant Indica sativa hybrid with pronounced sativa elements. Popular medicinal strain. It has a sweet citrusy smell and hits users quickly with an energizing happy high. Good for daytime use. Greenhouse Organic. 50 grams.","http://wztyb7vlfcw6l4xd.onion/image/modules/freedomshop/uploads/ecc917ea6f3a161e1c75132526afb0cd22aafb55-m.jpg","1401490562","Canada",
"4-1174","Black Bank","http://wztyb7vlfcw6l4xd.onion/item/1174","
BCDirect","0.60912469","1.8oz Jack Haze AAA Indoor BC Bud","Top quality AAA indoor sativa dominant A cross between Jack Herer and Super Silver Haze this is a sativa dominant hybrid. Energizing and uplifting racy and euphoric great for daytime use the strain is like drinking a strong cup of coffee. Leaves users feeling clear headed and creative. Jack Haze is very potent with fluffy elongated dark green buds with a sweet lemon pine aroma. Smooth smoke with sweet taste no coughing. 50 grams.","http://wztyb7vlfcw6l4xd.onion/image/modules/freedomshop/uploads/x800cad5d2e8135ccf40475d0cd46ee7a240caec6-m.jpg.pagespeed.ic.fhbbwbU_Qq.jpg","1401490558","Canada",
