1,7,2015,12446
2,7,2014,35493
3,5,2015,8657
4,3,2016,11512
4,5,2014,3444
5,3,2015,6074
6,1,2016,49098
6,12,2015,10389
7,1,2015,784
7,12,2014,375079
8,10,2015,7920
9,10,2014,12327
10,8,2015,18182
11,8,2014,10347
12,6,2015,19803
13,4,2016,15312
13,6,2014,49803
14,4,2015,872
15,2,2016,49599
16,2,2015,7293
17,11,2015,34710
18,11,2014,58260
19,9,2015,9671
20,9,2014,11105
21,7,2015,21048
22,7,2014,25522
23,5,2015,1589
24,3,2016,211
24,5,2014,12550
25,3,2015,66289
26,1,2016,32844
26,12,2015,31863
27,1,2015,4745
27,12,2014,5085
28,10,2015,10244
29,10,2014,12281
30,8,2015,25038
31,8,2014,10802
1,9,2014,16716
2,7,2015,29993
3,7,2014,12865
4,5,2015,33086
5,3,2016,10272
5,5,2014,2042
6,3,2015,6332
7,1,2016,11033
7,12,2015,6669
8,1,2015,5850
8,12,2014,11452
9,10,2015,7765
10,10,2014,17521
11,8,2015,13609
12,8,2014,7804
13,6,2015,12156
14,4,2016,11874
14,6,2014,17590
15,4,2015,2121
16,2,2016,13075
17,2,2015,762
18,11,2015,26843
19,11,2014,33812
20,9,2015,7300
21,9,2014,12967
22,7,2015,20581
23,7,2014,15230
24,5,2015,490
25,3,2016,3240
25,5,2014,12398
27,1,2016,41293
27,12,2015,15432
28,1,2015,6496
28,12,2014,7262
29,10,2015,6228
30,10,2014,8880
31,8,2015,13179
1,9,2015,20398
2,9,2014,31449
3,7,2015,14401
4,7,2014,8623
5,5,2015,138520
6,3,2016,12473
6,5,2014,1464
7,3,2015,5374
8,1,2016,51248
8,12,2015,17494
9,1,2015,3251
9,12,2014,18502
10,10,2015,1239
11,10,2014,10273
12,8,2015,12744
13,8,2014,26623
14,6,2015,21136
15,4,2016,1689
15,6,2014,12519
16,4,2015,4075
17,2,2016,37636
18,2,2015,10912
19,11,2015,14326
20,11,2014,18751
21,9,2015,14368
22,9,2014,11075
23,7,2015,9200
24,7,2014,59674
25,5,2015,116
26,3,2016,2513
26,5,2014,8167
27,3,2015,260866
28,1,2016,23324
28,12,2015,629122
29,1,2015,3272
29,12,2014,5746
30,10,2015,7183
31,10,2014,174738
1,11,2014,7304
2,9,2015,38908
3,9,2014,12956
4,7,2015,21834
5,7,2014,11580
6,5,2015,10723
7,3,2016,14098
7,5,2014,1699
8,3,2015,13
9,1,2016,26783
9,12,2015,22609
10,1,2015,6767
10,12,2014,11107
11,10,2015,3668
12,10,2014,7699
13,8,2015,18475
14,8,2014,11386
15,6,2015,16937
16,4,2016,2533
16,6,2014,79803
17,4,2015,7454
18,2,2016,8419
19,2,2015,14493
20,11,2015,30871
21,11,2014,2145
22,9,2015,7939
23,9,2014,13045
24,7,2015,18414
25,7,2014,13808
26,5,2015,118428
27,3,2016,2631
27,5,2014,9908
29,1,2016,37835
29,12,2015,895630
30,1,2015,777
30,12,2014,5445
31,10,2015,16089
1,11,2015,6869
2,11,2014,8630
3,9,2015,25464
4,9,2014,11068
5,7,2015,24939
6,7,2014,39264
7,5,2015,37793
8,3,2016,7977
8,5,2014,624091
9,3,2015,12716
10,1,2016,23198
10,12,2015,13480
11,1,2015,3836
11,12,2014,13285
12,10,2015,6874
13,10,2014,25038
14,8,2015,16718
15,8,2014,38726
16,6,2015,81167
17,4,2016,7
17,6,2014,12403
18,4,2015,103970
19,2,2016,3435
19,4,2014,34760
20,2,2015,66117
21,11,2015,28934
22,11,2014,17113
23,9,2015,6845
24,9,2014,56088
25,7,2015,12108
26,7,2014,28141
27,5,2015,32831
28,3,2016,15
28,5,2014,10366
30,1,2016,17527
30,12,2015,109089
31,1,2015,3182
31,12,2014,5516
1,2,2015,9166
2,11,2015,5912
3,11,2014,13829
4,9,2015,38397
5,9,2014,39786
6,7,2015,29687
7,7,2014,7489
8,5,2015,11880
9,3,2016,15842
9,5,2014,4979
10,3,2015,8108
11,1,2016,185285
11,12,2015,5975
12,1,2015,1
12,12,2014,32200
13,10,2015,8921
14,10,2014,76217
15,8,2015,15922
16,8,2014,11343
17,6,2015,21061
18,6,2014,17867
19,4,2015,144182
20,2,2016,60635
20,4,2014,20015
21,2,2015,12988
22,11,2015,31269
23,11,2014,18844
24,9,2015,4631
25,9,2014,22940
26,7,2015,16029
27,7,2014,8313
28,5,2015,131422
29,3,2016,1299
29,5,2014,14258
30,3,2015,559
31,1,2016,36105
31,12,2015,64142
1,2,2016,22956
2,2,2015,5489
3,11,2015,14038
4,11,2014,12107
5,9,2015,19763
6,9,2014,9372
7,7,2015,461821
8,7,2014,10607
9,5,2015,13137
10,3,2016,13456
10,5,2014,921
11,3,2015,2909
12,1,2016,156283
12,12,2015,11510
13,1,2015,6789
13,12,2014,501
14,10,2015,7188
15,10,2014,28197
16,8,2015,105112
17,8,2014,11860
18,6,2015,20724
19,6,2014,176517
21,2,2016,14878
21,4,2014,122
22,2,2015,1326
23,11,2015,40739
24,11,2014,21034
25,9,2015,880
26,9,2014,5749
27,7,2015,19214
28,7,2014,14238
29,5,2015,146973
30,5,2014,11128
1,4,2015,189352
2,2,2016,12029
3,2,2015,8799
4,11,2015,9423
5,11,2014,10365
6,9,2015,5954
7,9,2014,11697
8,7,2015,164923
9,7,2014,66448
10,5,2015,54011
11,3,2016,8371
11,5,2014,23315
12,3,2015,1277
13,1,2016,50473
13,12,2015,10388
14,1,2015,4723
